Date,Close,Ticker
2021-08-20,88.940002,ORCL
2021-08-23,89.120003,ORCL
2021-08-24,88.550003,ORCL
2021-08-25,88.620003,ORCL
2021-08-26,88.720001,ORCL
2021-08-27,89.349998,ORCL
2021-08-30,89.449997,ORCL
2021-08-31,89.129997,ORCL
2021-09-01,89.949997,ORCL
2021-09-02,89.800003,ORCL
2021-09-03,90.0,ORCL
2021-09-07,88.720001,ORCL
2021-09-08,89.470001,ORCL
2021-09-09,89.540001,ORCL
2021-09-10,89.68,ORCL
2021-09-13,88.889999,ORCL
2021-09-14,86.389999,ORCL
2021-09-15,87.730003,ORCL
2021-09-16,87.25,ORCL
2021-09-17,86.389999,ORCL
2021-09-20,86.169998,ORCL
2021-09-21,86.919998,ORCL
2021-09-22,88.440002,ORCL
2021-09-23,89.419998,ORCL
2021-09-24,89.940002,ORCL
2021-09-27,91.040001,ORCL
2021-09-28,90.489998,ORCL
2021-09-29,91.25,ORCL
2021-09-30,87.129997,ORCL
2021-10-01,89.739998,ORCL
2021-10-04,89.260002,ORCL
2021-10-05,91.489998,ORCL
2021-10-06,91.339996,ORCL
2021-10-07,92.309998,ORCL
2021-10-08,94.389999,ORCL
2021-10-11,95.290001,ORCL
2021-10-12,95.57,ORCL
2021-10-13,96.400002,ORCL
2021-10-14,95.279999,ORCL
2021-10-15,95.330002,ORCL
2021-10-18,96.510002,ORCL
2021-10-19,97.059998,ORCL
2021-10-20,96.639999,ORCL
2021-10-21,96.300003,ORCL
2021-10-22,98.25,ORCL
2021-10-25,97.889999,ORCL
2021-10-26,96.980003,ORCL
2021-10-27,96.029999,ORCL
2021-10-28,96.230003,ORCL
2021-10-29,95.940002,ORCL
2021-11-01,94.379997,ORCL
2021-11-02,95.870003,ORCL
2021-11-03,96.150002,ORCL
2021-11-04,95.629997,ORCL
2021-11-05,94.949997,ORCL
2021-11-08,95.139999,ORCL
2021-11-09,94.589996,ORCL
2021-11-10,93.830002,ORCL
2021-11-11,94.040001,ORCL
2021-11-12,93.540001,ORCL
2021-11-15,94.019997,ORCL
2021-11-16,95.610001,ORCL
2021-11-17,95.330002,ORCL
2021-11-18,94.660004,ORCL
2021-11-19,93.970001,ORCL
2021-11-22,94.610001,ORCL
2021-11-23,92.940002,ORCL
2021-11-24,93.580002,ORCL
2021-11-26,92.330002,ORCL
2021-11-29,92.940002,ORCL
2021-11-30,90.739998,ORCL
2021-12-01,89.75,ORCL
2021-12-02,89.989998,ORCL
2021-12-03,88.239998,ORCL
2021-12-06,88.940002,ORCL
2021-12-07,90.050003,ORCL
2021-12-08,88.940002,ORCL
2021-12-09,88.769997,ORCL
2021-12-10,102.629997,ORCL
2021-12-13,100.889999,ORCL
2021-12-14,99.889999,ORCL
2021-12-15,103.650002,ORCL
2021-12-16,103.220001,ORCL
2021-12-17,96.620003,ORCL
2021-12-20,91.639999,ORCL
2021-12-21,91.510002,ORCL
2021-12-22,89.860001,ORCL
2021-12-23,89.720001,ORCL
2021-12-27,89.540001,ORCL
2021-12-28,88.650002,ORCL
2021-12-29,88.209999,ORCL
2021-12-30,88.010002,ORCL
2021-12-31,87.209999,ORCL
2022-01-03,87.900002,ORCL
2022-01-04,88.839996,ORCL
2022-01-05,86.459999,ORCL
2022-01-06,86.339996,ORCL
2022-01-07,87.510002,ORCL
2022-01-10,89.279999,ORCL
2022-01-11,88.480003,ORCL
2022-01-12,88.309998,ORCL
2022-01-13,87.790001,ORCL
2022-01-14,87.690002,ORCL
2022-01-18,85.550003,ORCL
2022-01-19,83.379997,ORCL
2022-01-20,82.720001,ORCL
2022-01-21,82.220001,ORCL
2022-01-24,82.419998,ORCL
2022-01-25,81.07,ORCL
2022-01-26,79.589996,ORCL
2022-01-27,79.779999,ORCL
2022-01-28,80.480003,ORCL
2022-01-31,81.160004,ORCL
2022-02-01,81.040001,ORCL
2022-02-02,82.5,ORCL
2022-02-03,81.940002,ORCL
2022-02-04,82.110001,ORCL
2022-02-07,80.739998,ORCL
2022-02-08,80.790001,ORCL
2022-02-09,83.449997,ORCL
2022-02-10,81.849998,ORCL
2022-02-11,79.75,ORCL
2022-02-14,78.949997,ORCL
2022-02-15,79.769997,ORCL
2022-02-16,79.190002,ORCL
2022-02-17,75.529999,ORCL
2022-02-18,74.57,ORCL
2022-02-22,74.120003,ORCL
2022-02-23,72.470001,ORCL
2022-02-24,74.809998,ORCL
2022-02-25,76.349998,ORCL
2022-02-28,75.970001,ORCL
2022-03-01,76.010002,ORCL
2022-03-02,78.279999,ORCL
2022-03-03,78.25,ORCL
2022-03-04,76.489998,ORCL
2022-03-07,74.32,ORCL
2022-03-08,73.330002,ORCL
2022-03-09,76.099998,ORCL
2022-03-10,76.650002,ORCL
2022-03-11,77.82,ORCL
2022-03-14,77.07,ORCL
2022-03-15,80.599998,ORCL
2022-03-16,79.959999,ORCL
2022-03-17,80.599998,ORCL
2022-03-18,81.68,ORCL
2022-03-21,80.959999,ORCL
2022-03-22,81.800003,ORCL
2022-03-23,80.389999,ORCL
2022-03-24,82.239998,ORCL
2022-03-25,81.730003,ORCL
2022-03-28,83.599998,ORCL
2022-03-29,84.290001,ORCL
2022-03-30,83.360001,ORCL
2022-03-31,82.730003,ORCL
2022-04-01,82.010002,ORCL
2022-04-04,84.07,ORCL
2022-04-05,82.940002,ORCL
2022-04-06,82.120003,ORCL
2022-04-07,81.540001,ORCL
2022-04-08,80.940002,ORCL
2022-04-11,79.760002,ORCL
2022-04-12,79.330002,ORCL
2022-04-13,79.75,ORCL
2022-04-14,79.449997,ORCL
2022-04-18,78.220001,ORCL
2022-04-19,79.559998,ORCL
2022-04-20,80.290001,ORCL
2022-04-21,79.480003,ORCL
2022-04-22,76.209999,ORCL
2022-04-25,76.980003,ORCL
2022-04-26,74.510002,ORCL
2022-04-27,74.760002,ORCL
2022-04-28,76.139999,ORCL
2022-04-29,73.400002,ORCL
2022-05-02,74.0,ORCL
2022-05-03,73.290001,ORCL
2022-05-04,75.209999,ORCL
2022-05-05,72.800003,ORCL
2022-05-06,72.489998,ORCL
